Ballots Issued to Voters,Ballots Cast,County,% counted,Ballots Counted,Ballots Remaining
19460,15046,MERCER,0.3693,5556,9490
11269,9299,NORTHUMBERLAND,0.9824,9135,164
64958,55087,DAUPHIN,0.9836,54186,901
16166,12679,LAWRENCE,0.9437,11965,714
5708,4930,MIFFLIN,0.8696,4287,643
1924,1594,POTTER,0.973,1551,43
9912,8479,COLUMBIA,0.9763,8278,201
7470,6435,VENANGO,0.9994,6431,4
153716,115113,DELAWARE,0.9136,105166,9947
38801,33021,BUTLER,0.9798,32353,668
5090,4382,GREENE,0.1321,579,3803
4888,4080,MCKEAN,0.9645,3935,145
43151,37216,WASHINGTON,0.9735,36229,987
4609,3863,ELK,0.9697,3746,117
75667,60263,WESTMORELAND,0.9333,56246,4017
27228,22331,LEBANON,0.9955,22231,100
21062,18974,ADAMS,0.989,18766,208
35176,29668,BEAVER,0.9805,29089,579
15718,13015,LYCOMING,0.9705,12631,384
4883,4149,CLARION,0.9754,4047,102
49401,42190,LACKAWANNA,0.9791,41310,880
36012,33024,CENTRE,0.9656,31888,1136
90813,77116,YORK,0.9753,75210,1906
407249,349048,ALLEGHENY,0.8969,313072,35976
6577,5457,WARREN,0.9335,5094,363
6529,5620,SUSQUEHANNA,0.9806,5511,109
71218,57078,LUZERNE,0.9762,55718,1360
24382,21143,FRANKLIN,0.9755,20624,519
800,722,CAMERON,1,722,0
5146,4347,JEFFERSON,0.9676,4206,141
170763,149844,CHESTER,0.9839,147433,2411
276556,242888,MONTGOMERY,0.9885,240086,2802
20119,16321,SCHUYLKILL,0.9827,16038,283
6770,5713,PERRY,0.9001,5142,571
4729,4125,WYOMING,0.9852,4064,61
107950,91245,LANCASTER,0.9885,90198,1047
21151,17879,CAMBRIA,0.972,17378,501
433887,358287,PHILADELPHIA,0.7429,266159,92128
5148,4297,CLINTON,0.9946,4274,23
88674,77528,LEHIGH,0.5547,43001,34527
2776,2375,JUNIATA,1.0008,2377,-2
946,836,SULLIVAN,0.933,780,56
9962,8906,WAYNE,0.9781,8711,195
20414,17238,BLAIR,0.6471,11154,6084
9284,8318,SOMERSET,0.9305,7740,578
15324,13382,PIKE,0.9964,13334,48
84274,74142,NORTHAMPTON,0.9756,72330,1812
57405,49646,ERIE,0.657,32618,17028
6694,5629,BEDFORD,0.9996,5627,2
38651,33104,MONROE,0.5652,18712,14392
197919,163437,BUCKS,0.8441,137965,25472
850,740,FOREST,0.9757,722,18
9272,8579,CLEARFIELD,0.9073,7784,795
59213,53165,CUMBERLAND,0.3987,21195,31970
12852,10923,CRAWFORD,0,0,10923
12604,10681,INDIANA,1.0012,10694,-13
5013,4477,SNYDER,0.9685,4336,141
82197,66661,BERKS,0.9443,62947,3714
22469,15970,FAYETTE,0.9503,15177,793
8160,6581,BRADFORD,0.9289,6113,468
3645,3307,MONTOUR,0.9849,3257,50
8751,7084,ARMSTRONG,0.2405,1704,5380
5464,4593,TIOGA,0,0,4593
6886,6130,UNION,0.9737,5969,161
5162,4616,HUNTINGDON,0.9913,4576,40
1538,1253,FULTON,0.9649,1209,44
11107,9356,CARBON,0.3938,3684,5672
